,gene,moduleColor
431,PITHD1,pink
432,CFAP36,brown
433,PITPNB,brown
434,CHCHD1,red
435,LOC100190683,brown
436,UBE2V1,black
437,UCK2,grey
438,HMGN3,black
439,LMAN2L,brown
440,LOC100190036,brown
441,LOC100190594,black
442,LOC100190568,red
443,TXNRD3,pink
444,MED21,blue
445,UBE2V2,black
446,NDUFB1,black
447,LOC100190378,pink
448,PAK1,blue
449,CNR1,grey
450,DNAJC6,grey
451,MBNL2,red
452,LAMTOR2,brown
453,EIF4E,black
454,SNX3,black
455,LOC100190605,brown
456,COMMD3,black
457,NDUFS5,brown
458,DNAL4,blue
459,EIF3J,black
460,JPT1,blue
461,PFDN1,pink
462,NDUFB6,grey
463,PDCD5,black
464,LOC100190722,blue
465,MGST1,black
466,SEC61B,blue
467,SSBP1,pink
468,LOC100190271,grey
469,SSB,brown
470,HIKESHI,black
471,DRG1,pink
472,SNRPB,brown
473,LOC100218287,pink
474,MRPL33,black
475,MOCS2,blue
476,FAM133B,black
477,CWC15,grey
478,LOC100190295,pink
479,HMOX2,pink
480,ISCA2,brown
481,RNF185,blue
482,POLR2L,black
483,PSMA5,pink
484,SCAMP1,black
485,EIF2S1,brown
486,OAZ2,pink
487,LOC100189983,grey
488,SELENOF,black
489,CCDC28A,blue
490,ERG28,blue
491,LOC100190035,black
492,RPS9,green
493,SAMD12,blue
494,LOC100190326,brown
495,LOC100192321,brown
496,INIP,pink
497,SNRPG,brown
498,NDOR1,brown
499,AGPAT5,blue
500,RAP1A,black
501,SRP14,black
502,HBE1,brown
503,MIR2982,brown
504,DGCR6L,brown
505,TMEM230,brown
506,ZFAND5,black
507,PPIC,black
508,UBE2R2,brown
509,PCNA,brown
510,EMC4,brown
511,ARF6,black
512,MRPL20,black
513,LOC100228523,black
514,MMADHC,brown
515,UBLCP1,blue
516,MRPS18A,pink
517,MGST3,brown
518,MRPL14,black
519,UPRT,pink
520,LOC100190593,blue
521,FKBP3,brown
522,NAXE,brown
523,LOC100228369,pink
524,TAF11,brown
525,BRI3BP,red
526,KIF1B,grey
527,MOSPD1,black
528,NDUFA8,brown
529,B2M,grey
530,BTBD10,grey
531,MRPS25,grey
532,C17H9orf16,black
533,LOC100189982,blue
534,AK3,black
535,SNRNP48,grey
536,LOC100190151,black
537,ACOT13,black
538,LOC100190436,grey
539,MID1IP1,pink
540,LOC100189972,brown
541,EIF2B2,pink
542,LOC100190105,pink
543,MED6,black
544,FOXP1,grey
545,GPX3,pink
546,MIR7643,blue
547,NSFL1C,brown
548,PLLP,black
549,PRKRIP1,grey
550,TAF13,blue
551,MAGOH,grey
552,PRADC1,brown
553,RPS21,brown
554,TRAPPC2,black
555,LOC100190321,grey
556,NFU1,black
557,WDR61,grey
558,DCUN1D5,black
559,MRPS6,blue
560,LOC100227202,red
561,ARL3,grey
562,TMEM41A,blue
563,SPRYD7,black
564,TMSB15B,blue
565,LOC100190694,red
566,MIR2972,blue
567,TVP23A,grey
568,LOC100190700,brown
569,ZNF346,grey
570,SNU13,blue
571,MPZL1,blue
572,POLR2J,pink
573,SARNP,brown
574,VPS29,pink
575,GPN3,black
576,MAEA,red
577,LOC100190026,pink
578,C4AHXorf56,blue
579,ANKRD49,black
580,LOC100190219,blue
581,COMMD9,black
582,ALYREF,pink
583,LOC100190677,grey
584,MRPS22,pink
585,CHCHD3,pink
586,PPT1,brown
587,LOC100190022,blue
588,SURF2,brown
589,FABP5,blue
590,FAM96A,brown
591,JAGN1,brown
592,GPX1,blue
593,GNPTG,black
594,GRPEL1,pink
595,ATG101,brown
596,LOC100190710,blue
597,MRPL19,black
598,LOC100189978,grey
599,LOC100190222,pink
600,DKK3,black
601,POLR2D,blue
602,BCCIP,pink
603,FMR1,black
